"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMC","ACMC_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSC","ACSC_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-01",,,,,,,,,,,,,,,,,,,"0.14",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-02",,,,,,,,,,,,,,,,,,,"0.00","T,,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-03",,,,,,,,,,,,,,,,,,,"0.03",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-04",,,,,,,,,,,,,,,,,,,"0.06",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-05",,,,,,,,,,,,,,,,,,,"0.01",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-06",,,,,,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-07",,,,,,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-08",,,,,,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-09",,,,,,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-10",,,,,,,,,,,,,,,,,,,"0.04",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1990-01-11",,,,,,,,,,,,,,,,,,,"0.01",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
